title,company,job_category,experience,salary,location,tech_stack
[네이버자회사/신입가능/휴학생가능] 전산SW운영관리 채용,(주)바른인사컨설팅,백엔드,신입,연봉 3000만원,성남,[]
[대기업/삼성물산/본사] 삼성물산 IT 사무직 채용(성과급 별도),(주)커리어텍,백엔드,신입,월급 359만원,서울,['AWS']
포항성모병원 전산정보팀 전산운용/개발 채용,(재)포항예수성심시녀회,백엔드,신입,회사내규에 따름,경북,[]
백엔드 개발자 모집합니다.[경력무관],위미르(주),백엔드,신입,연봉 3648만원,경남,"['Java', 'Spring', 'Spring Boot']"
웹·앱 개발자 모집,(주)트러스트,백엔드,신입,회사내규에 따름,성남,"['Java', 'JavaScript', 'MongoDB', 'MySQL', 'Node.js', 'PostgreSQL', 'Python', 'React', 'Spring', 'TypeScript', 'Vue.js']"
웹 서비스 개발자 채용공고,(주)낸드소프트,백엔드,신입/경력,회사내규에 따름,대구,"['Java', 'Linux', 'MySQL', 'Spring']"
백엔드(서버) 및 프론트 개발 인력 채용,(주)엠넥스,백엔드,신입,회사내규에 따름,"안양,","['Docker', 'Git', 'JavaScript', 'Linux', 'MySQL', 'Next.js', 'Node.js', 'React', 'TypeScript']"
[프렌트리] 검출 결과 관리 소프트웨어 개발자 채용(신입/경력),(주)프렌트리,백엔드,신입/경력,회사내규에 따름,서울,"['Git', 'Java', 'JavaScript', 'Node.js', 'Python', 'React', 'Vue.js']"
Java 웹 개발자 신입/경력 계약직 채용,(주)지구소프트,백엔드,신입/경력,회사내규에 따름,서울,['Java']
(주)센텀인터넷 광교 R&D센터 java 신입/경력 개발자 모집,(주)센텀인터넷,백엔드,신입,회사내규에 따름,수원,"['Java', 'MySQL', 'SQL']"
[신입/경력] 전산팀 정규직 모집,(주)뉴프렉스,백엔드,신입/경력,회사내규에 따름,안산,[]
당사의 솔루션 개발을 함께 하실 신입 및 경력사원을 모십니다.,(주)팹스넷,백엔드,신입/경력,회사내규에 따름,서울,['Spring']
"[대전] 홈페이지, 그룹웨어 유지보수 및 구축 사업 (신입/경력)",케이엘정보통신(주) 대전지점,백엔드,신입/경력,회사내규에 따름,대전,[]
시스템 엔지니어 신입 및 경력(파견 인력 포함),(주)아남아이티,백엔드,신입/경력,회사내규에 따름,대구,[]
전산실 AI(인공지능) 서버 운영 관리,IPEA(정보처리기사협회),백엔드,신입,회사내규에 따름,"포,",['SQL']
[펄어비스] [신입] 시스템 엔지니어 모집,(주)펄어비스,백엔드,신입,회사내규에 따름,과천지도,"['Linux', 'Python']"
소프트웨어 개발자 채용 (신입/경력),(주)에이핀아이앤씨,백엔드,신입/경력,회사내규에 따름,서울,"['AWS', 'JavaScript', 'MySQL', 'Node.js', 'React', 'Spring']"
증권 금융IT전문기업 신입 개발자 모집,아이낸스(주),백엔드,신입,회사내규에 따름,서울,[]
